Thu Oct 12 07:31:30 +0000 2017,"@AustralianLabor @RoseBrennan12 @BernardKeane He's 'radically intervened' in @LiberalNSW's Plebiscite' debate;
He's… https://t.co/xf8Eiwtp28"
Thu Oct 12 06:43:38 +0000 2017,The latest The Wollongong Happenings Daily! https://t.co/T6jP0xl1gV Thanks to @LiberalNSW @tilmagroup @uowresearch #travel #traveling
Thu Oct 12 05:38:03 +0000 2017,@sffAustralia @NSWNationals @LiberalNSW Two of your Members of Parliament didn't even bother to show up to Parliament this week!
Thu Oct 12 04:00:53 +0000 2017,@WesFangNats @sffAustralia @NSWNationals @StephCookeNats @austinevansnats @LiberalNSW Help who? Your Liberal overlo… https://t.co/yFBq1aApHd
Thu Oct 12 03:39:07 +0000 2017,@capital_hunter @sffAustralia @NSWNationals @StephCookeNats @austinevansnats @LiberalNSW I’m just here to help!
Thu Oct 12 03:22:30 +0000 2017,@WesFangNats @sffAustralia @NSWNationals @StephCookeNats @austinevansnats @LiberalNSW Another deflection Wes. The L… https://t.co/4qsBwZlawk
Thu Oct 12 03:07:03 +0000 2017,@capital_hunter @sffAustralia @NSWNationals @StephCookeNats @austinevansnats @LiberalNSW Mine’s bigger!  Is that the game we’re playing?
Thu Oct 12 03:00:42 +0000 2017,@WesFangNats @sffAustralia @NSWNationals @StephCookeNats @austinevansnats @LiberalNSW You answer mine and I'll answer  yours!
Thu Oct 12 02:59:33 +0000 2017,@WesFangNats @sffAustralia @NSWNationals @StephCookeNats @austinevansnats @LiberalNSW C'mon Wes I'm sure the consti… https://t.co/8r8YlMdSt1
Thu Oct 12 02:54:56 +0000 2017,@capital_hunter @sffAustralia @NSWNationals @StephCookeNats @austinevansnats @LiberalNSW Nah... I just thought my q… https://t.co/GXZcfnQlWI
Thu Oct 12 02:34:40 +0000 2017,@WesFangNats @sffAustralia @NSWNationals @StephCookeNats @austinevansnats Deflecting the question? You're sounding… https://t.co/1NboebfOZT
Thu Oct 12 01:31:47 +0000 2017,@matt_barrie @LiberalNSW @CloverMoore A great read Matt. I'm looking forward to your next essay on the state of Syd… https://t.co/j6tJHmoDNr
Thu Oct 12 01:29:29 +0000 2017,"@LNPQLD @TimNichollsMP @QLDLabor No better in my state under @NSWNationals and @LiberalNSW.  

What about you stop… https://t.co/kZevF268EL"
Thu Oct 12 00:56:35 +0000 2017,@LiberalNSW Everyone with 1/2 a brain knows that. Now build some brand new Coal Fired Power Stations &amp; fix this mess
Thu Oct 12 00:10:32 +0000 2017,"@LiberalNSW 😂😂, no thanks"
Wed Oct 11 22:48:30 +0000 2017,@LiberalNSW @NSWNationals @NSWLabor Centennial could have built a water treatment facility by now at Springvale if… https://t.co/5Ue9MJLbcj
Wed Oct 11 22:27:17 +0000 2017,@LiberalNSW @NSWNationals @NSWLabor relaxed water polluting laws rather than ask a multi billion dollar co. to do the right thing is stupid😠
Wed Oct 11 12:07:00 +0000 2017,Not a good look for @LiberalNSW @LiberalAus Hundreds of abuse allegations of SWD in NSW schools and they don't seem… https://t.co/rAhMSg1E7G
Wed Oct 11 09:06:46 +0000 2017,@JohnDobbin @LiberalNSW TBF the previous 16 years of @NSWLabor weren't much better.
Wed Oct 11 07:46:11 +0000 2017,@Olfella @not_my_debt @LiberalNSW Exactly.
Wed Oct 11 06:22:10 +0000 2017,@ben_noes @LiberalNSW Tech looks even older than that!
Wed Oct 11 05:51:15 +0000 2017,@JohnDobbin That's what 6 years of @LiberalNSW govt gets you.
Wed Oct 11 00:03:44 +0000 2017,E10 petrol is  shit @2GBNews @mattkeanNSW @LiberalNSW
Tue Oct 10 20:32:03 +0000 2017,"More proof, as if any was needed that @LiberalNSW &amp; @GladysB Gov are owned by the #coal industry #NSWPOL Planning M… https://t.co/VaKq2pKY9f"
Tue Oct 10 20:04:32 +0000 2017,@matt_barrie @LiberalNSW @CloverMoore But Apartments!
Tue Oct 10 12:05:25 +0000 2017,@CyclingFoodie @capital_hunter @LiberalNSW @sffAustralia @NSWNationals Fell off your bike again?? #HeadInjury
Tue Oct 10 09:23:08 +0000 2017,@capital_hunter @LiberalNSW @sffAustralia @NSWNationals guns. guns. guns. death. killing. yeah! go. guns. death. #killthemall
Tue Oct 10 09:08:37 +0000 2017,As opposed 2 being scripted by @LiberalNSW I'll take @sffAustralia cred over @NSWNationals any day any where #nswpol https://t.co/kdYbBlRyaO
Tue Oct 10 06:13:52 +0000 2017,@LiberalNSW @georgebarnes311 of if you really want your say in @LiberalNSW check out @PremierStateAU
Tue Oct 10 05:22:38 +0000 2017,Thanks @LiberalNSW :) Always looking out for your constituents #auspol https://t.co/8YAZlRokrc
Tue Oct 10 02:19:55 +0000 2017,@Dom_Perrottet @LiberalNSW Congratulations! That's one for the 18th/21st!
Tue Oct 10 00:19:11 +0000 2017,@stuartayresmp @westconnex @NSWBC @LiberalNSW Great to catch up with you yesterday. Great to discuss the need for i… https://t.co/w6Lxcg7nWI
Mon Oct 09 21:05:12 +0000 2017,I wish the @LiberalNSW @NSWNationals @NSWLabor would get off the #coal bandwagon and take #climatechange seriously. https://t.co/cPG4VY8wgN
Mon Oct 09 13:41:28 +0000 2017,"@RossCameron4 

Law 2: 

“Any organization not explicitly conservative sooner or later becomes left-wing”

Proven by @LiberalNSW 

#auspol"
Mon Oct 09 12:17:54 +0000 2017,@abcnews @dpinkston @bevvo14 Maybe Kim Jong-un has got a gender quota system like the @LiberalNSW
Mon Oct 09 07:44:07 +0000 2017,RT @CyclingFoodie: More #msm cheerleading for #coal &amp; @LiberalNSW over clean #Sydney water from @9NewsSyd There was no threat of blackouts…
Mon Oct 09 07:19:03 +0000 2017,More #msm cheerleading for #coal &amp; @LiberalNSW over clean #Sydney water from @9NewsSyd There was no threat of black… https://t.co/cPWb3QRAuB
Mon Oct 09 07:10:13 +0000 2017,"Chill out Sydney.
Your drinking water, via legislation @LiberalNSW, allows mining cos to pollute the water catchmen… https://t.co/4KYL4GR0Wy"
Mon Oct 09 06:49:11 +0000 2017,@anika_gauja @LiberalNSW @LiberalAus I can't wait.
